Common name,Species EPPO code,Variety,Country of origin,Net weight per package in kilograms,Number of packages,Packaging type,Is the packaging reusable or reclaimed?
MANDATORY,MANDATORY,OPTIONAL,MANDATORY,MANDATORY,MANDATORY,MANDATORY,MANDATORY
,,,,,,ENTER EITHER - ,ENTER EITHER - 
,,,,,,Bag,Yes
,,,,,,Bale - compressed,No
,,,,,,Bale - non-compressed,
,,,,,,Ball,
,,,,,,Barrel,
,,,,,,Bin,
,,,,,,Bottle - non-protected - bulbous,
,,,,,,Bottle - non-protected - cylindrical,
,,,,,,Bottle - protected bulbous,
,,,,,,Bottle - protected cylindrical,
,,,,,,Box,
,,,,,,Bucket,
,,,,,,Bulk - granular particles (grains),
,,,,,,Can - cylindrical,
,,,,,,Can - rectangular,
,,,,,,Can - with handle and spout,
,,,,,,Capsule,
,,,,,,Card,
,,,,,,Carton,
,,,,,,Case,
,,,,,,Container,
,,,,,,Drum,
,,,,,,Envelope,
,,,,,,Fibre drum,
,,,,,,Flask,
,,,,,,Flexibag,
,,,,,,Flexible intermediate bulk container bag,
,,,,,,Intermediate bulk container,
,,,,,,Jar,
,,,,,,Jerrican - plastic,
,,,,,,Jerrican - steel,
,,,,,,Jumbo bag,
,,,,,,Jute bag,
,,,,,,Keg,
,,,,,,Net,
,,,,,,Octabin,
,,,,,,Packet,
,,,,,,Package,
,,,,,,Pallets,
,,,,,,Paper bags,
,,,,,,Parcel,
,,,,,,Plastic film bag,
,,,,,,Poly bag,
,,,,,,Polyweave plastic bag,
,,,,,,Pot,
,,,,,,Pouch,
,,,,,,Punnet,
,,,,,,Sack,
,,,,,,Tank - cylindrical,
,,,,,,Tank - rectangular,
,,,,,,Textile bag,
,,,,,,Tin,
,,,,,,Tote,
,,,,,,Tray,
,,,,,,Tub,
,,,,,,Tube,
,,,,,,Vacuum packed,
,,,,,,Vial,
,,,,,,Wooden crate,
,,,,,,Wooden pallet,