Product type,Variety,Quality class,Country code for country of origin,Net weight per package in kilograms,Number of packages,Packaging type,Packaging reusable or reclaimed
MANDATORY - CHOOSE OPTION FROM LIST,OPTIONAL,MANDATORY - CHOOSE OPTION FROM LIST,MANDATORY,MANDATORY,MANDATORY,MANDATORY - CHOOSE OPTION FROM LIST,MANDATORY - CHOOSE OPTION FROM LIST
Apple,,Extra,,,,Bag,Yes
Pear,,Class I,,,,Bale - compressed,No
Kiwi,,Class II,,,,Bale - non-compressed,
Sweet pepper,,,,,,Ball,
Clementine,,,,,,Barrel,
Lemon,,,,,,Bin,
Mandarin,,,,,,Bottle - non-protected - bulbous,
Orange,,,,,,Bottle - non-protected - cylindrical,
Satsuma,,,,,,Bottle - protected bulbous,
Tangerine,,,,,,Bottle - protected cylindrical,
Mineola,,,,,,Box,
Iceberg,,,,,,Bucket,
Little Gem,,,,,,Bulk - granular particles (grains),
Lollo Rosso,,,,,,Can - cylindrical,
Frisee,,,,,,Can - rectangular,
Oakleaf,,,,,,Can - with handle and spout,
Round / Flat / Butterhead,,,,,,Capsule,
Cos / Romaine,,,,,,Card,
Tomato - cherry,,,,,,Carton,
Tomato - field grown,,,,,,Case,
Tomato - glasshouse,,,,,,Container,
Tomato - on-the-vine,,,,,,Drum,
Tomato - plum,,,,,,Envelope,
Tomato - round,,,,,,Fibre drum,
Tomato - other,,,,,,Flask,
Tomato - unknown,,,,,,Flexibag,
Nectarine - white flesh,,,,,,Flexible intermediate bulk container bag,
Nectarine - yellow flesh,,,,,,Intermediate bulk container,
Nectarine - unknown,,,,,,Jar,
Peach - white flesh,,,,,,Jerrican - plastic,
Peach - yellow flesh,,,,,,Jerrican - steel,
Peach - unknown,,,,,,Jumbo bag,
Grape,,,,,,Jute bag,
Strawberry,,,,,,Keg,
,,,,,,Net,
,,,,,,Octabin,
,,,,,,Packet,
,,,,,,Package,
,,,,,,Pallets,
,,,,,,Paper bags,
,,,,,,Parcel,
,,,,,,Plastic film bag,
,,,,,,Poly bag,
,,,,,,Polyweave plastic bag,
,,,,,,Pot,
,,,,,,Pouch,
,,,,,,Punnet,
,,,,,,Sack,
,,,,,,Tank - cylindrical,
,,,,,,Tank - rectangular,
,,,,,,Textile bag,
,,,,,,Tin,
,,,,,,Tote,
,,,,,,Tray,
,,,,,,Tub,
,,,,,,Tube,
,,,,,,Vacuum packed,
,,,,,,Vial,
,,,,,,Wooden crate,
,,,,,,Wooden pallet,
,,,,,,Bulk crate (cardboard),
,,,,,,Bulk crate (plastic),
,,,,,,Bulk crate (wooden),
,,,,,,Intermediate bulk container (fibreboard),
,,,,,,Intermediate bulk container (plywood),
,,,,,,Intermediate bulk container (steel),
,,,,,,Unpacked or unpackaged,